Especie,Latitude,Longitude
Carica Papaya,12.834267,-86.9206
Carica Papaya,12.8343,-86.92063333
Carica Papaya,12.8345,-86.92025
Carica Papaya,12.834567,-86.92026667
Carica Papaya,12.834567,-86.92053333
Carica Papaya,12.834633,-86.9203
Carica Papaya,12.834683,-86.92051667
Carica Papaya,12.83475,-86.92058333
Carica Papaya,12.845617,-86.9329
Carica Papaya,12.845833,-86.9332
Carica Papaya,12.84655,-86.93401667
Carica Papaya,12.846717,-86.96775
Carica Papaya,12.846783,-86.93436667
Carica Papaya,12.846967,-86.93476667
Carica Papaya,12.846967,-86.93478333
Carica Papaya,12.84705,-86.93456667
Carica Papaya,12.847067,-86.93465
Carica Papaya,12.916667,-85.266667
Carica Papaya,13.735848,-89.092433
Carica Papaya,14.75,-88
Carica Papaya,15.678595,-96.56968
Carica Papaya,15.983185,-95.648294
Carica Papaya,15.987222,-96.096111
Carica Papaya,16.383333,-93.966667
Carica Papaya,16.580874,-98.788123
Carica Papaya,16.789167,-91.108333
Carica Papaya,16.905176,-95.009269
Carica Papaya,16.934722,-91.248611
Carica Papaya,17.223709,-89.617025
Carica Papaya,17.235196,-100.639233
Carica Papaya,17.266667,-94.516667
Carica Papaya,17.35,-88.916667
Carica Papaya,17.362537,-93.608474
Carica Papaya,17.438667,-92.748917
Carica Papaya,17.444972,-92.743194
Carica Papaya,17.494439,-92.019203
Carica Papaya,17.511457,-95.090427
Carica Papaya,17.526194,-92.927333
Carica Papaya,17.535129,-92.962212
Carica Papaya,17.615,-92.468694
Carica Papaya,17.620056,-92.337083
Carica Papaya,17.7823,-101.723694
Carica Papaya,17.783861,-101.726222
Carica Papaya,17.784194,-101.723056
Carica Papaya,17.889513,-96.205874
Carica Papaya,18,-95.6
Carica Papaya,18.000022,-92.929583
Carica Papaya,18.0125,-94.405556
Carica Papaya,18.064222,-92.887667
Carica Papaya,18.100094,-93.166746
Carica Papaya,18.108524,-89.806654
Carica Papaya,18.133388,-93.183483
Carica Papaya,18.166764,-93.200197
Carica Papaya,18.200272,-93.200197
Carica Papaya,18.222391,-103.162505
Carica Papaya,18.284306,-93.210861
Carica Papaya,18.45,-95.016667
Carica Papaya,18.473333,-88.626389
Carica Papaya,18.486146,-95.060625
Carica Papaya,18.513235,-89.470891
Carica Papaya,18.547106,-91.085833
Carica Papaya,18.566667,-95.066667
Carica Papaya,18.578114,-95.080036
Carica Papaya,18.57868,-95.090142
Carica Papaya,18.582888,-88.244462
Carica Papaya,18.585885,-95.07682
Carica Papaya,18.588265,-95.087015
Carica Papaya,18.592191,-95.050521
Carica Papaya,18.60944,-95.096811
Carica Papaya,18.619867,-95.089119
Carica Papaya,18.666667,-89.433333
Carica Papaya,18.883333,-90.333333
Carica Papaya,19.01111,-90.313341
Carica Papaya,19.32,-96.33
Carica Papaya,19.583333,-90.25
Carica Papaya,19.595833,-90.230556
Carica Papaya,19.625,-88.914167
Carica Papaya,19.766667,-96.683333
Carica Papaya,19.875556,-88.011667
Carica Papaya,20.316667,-97.966667
Carica Papaya,20.360332,-89.766813
Carica Papaya,20.4,-97.441667
Carica Papaya,20.479689,-97.65641
Carica Papaya,20.5,-87.7
Carica Papaya,20.608333,-89.713889
Carica Papaya,20.682268,-88.568482
Carica Papaya,20.770813,-105.376119
Carica Papaya,20.909335,-87.431005
Carica Papaya,21.091205,-89.5975
Carica Papaya,21.243556,-98.743606
Carica Papaya,21.333333,-89.266667
Carica Papaya,21.340556,-89.263056
Carica Papaya,21.517404,-88.14045
Carica Papaya,21.582149,-104.996407
Carica Papaya,21.65,-98.116667
Carica Papaya,21.7,-97.833333
Carica Papaya,21.843133,-99.151811
Carica Papaya,22.918707,-97.88
Carica Papaya,23.017133,-99.125423
Carica Papaya,23.363702,-105.946193
